col_1,1,2,3,4,5,6,7,8,9,10,11
2403,Fregata ariel,,16 Aug- 1966,0.02 N ~ 176 0 42W,730 g.,Light,,,,,Skeleton HOFF77
04,Fregata minor,,15 Aug. 1966,,13 25g.,,ovedut ward in post,,,,SkalEton Huber 941
05,Heteroscelus Incanum,0+,,"0'02 Nr 176"" 40W",92g.,,lyst ouun - 0. 5 mm,,,,D. Pearson
Sterna fuscata,,,16 Aug. 1966,0 40' N~ 176 6 40'W,160g,,,,5 .,,HOFF 78
07,Oceanodroma leucorhoa,,17 Aug. 1966,00 13'N ~ 178.00W,42g-,,testes - 1x1 mm,,E. ( 4-015),,D. Pearson ( 36)
10#,Thathow rubricAndA,,,1038'N~ 176º41 W.,765 ya,,,,5.,,HOFF 80
Thathow rubricAndA,Thathow rubricAndA,,,1038'N~ 176º41 W.,765 ya,,,,5.,,HOFF 80
9,,,,15l'N ~ 1760 34'W.,720 Jus,hear,RT 24X13,color notes.,E. S,,Huber 936
Fregata Arial,,,,15l'N ~ 1760 34'W.,720 Jus,hear,RT 24X13,color notes.,E. S,,Huber 936
12,Pterod roma Externa,TO,,040 4IN 173 39 ' W,399,,Brood patch feathered,,,,D.Pearson (6 7 )
1 3,,,1/,04042'N 173038 W,418,very light,ovoy 1 0x4,,E. S.,,D. Pearson ( 66 )
14,Pterodrama Alba,,,040 59'N 1730 22'W,264 gr.,heavy,ova fine,moty,ES,,Huber 939
Pterodrama Alba,Pterodrama Alba,,,040 59'N 1730 22'W,264 gr.,heavy,ova fine,moty,ES,,Huber 939
15 Pterodroma externa,,,"20 Aug, 1966",04 0 59 'N ~ 1730 22'W.,447 gm,light,ova granular,molt,E S,,Balcomb ( 015 )
16 Pluvialis dominica,,,22 Aug . 1966,10' 08 N ~ 16751W.,,none,last ova - minute,,,S,D. Pearson ( 69 )
17,,,"29 Aug ., 1966",170 44'N - 160º58' W.,,,,,,,
Převodroma nigripinnis,,,"29 Aug ., 1966",170 44'N - 160º58' W.,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
